Org_Identifier,Org_FormalName,Project_Identifier,Project_Name,Project_QAPPApproved,Project_QAPPApprovalAgency,ProjectAttachment_FileName,ProjectAttachment_FileType,Location_Identifier,Location_Name,Location_Type,Location_Description,Location_State,Location_CountryName,Location_CountyName,Location_CountryCode,Location_StatePostalCode,Location_CountyCode,Location_HUCEightDigitCode,Location_HUCTwelveDigitCode,Location_TribalLandIndicator,Location_TribalLand,Location_Latitude,Location_Longitude,Location_HorzCoordReferenceSystemDatum,Location_LatitudeStandardized,Location_LongitudeStandardized,Location_HorzCoordStandardizedDatum,AlternateLocation_IdentifierCount,Activity_ActivityIdentifier,Activity_ActivityIdentifierUserSupplied,Activity_TypeCode,Activity_Media,Activity_MediaSubdivision,Activity_BottomDepthSamplingComponent,ActivityBiological_AssemblageSampled,ActivityBiological_ToxicityTestType,Activity_ConductingOrganization,Activity_Comment,ActivityLocation_Latitude,ActivityLocation_Longitude,ActivityLocation_HorzCoordReferenceSystemDatum,ActivityLocation_SourceMapScale,ActivityLocation_LatitudeStandardized,ActivityLocation_LongitudeStandardized,ActivityLocation_HorzCoordStandardizedDatum,ActivityLocation_HorzAccuracyMeasure,ActivityLocation_HorzAccuracyMeasureUnit,ActivityLocation_HorizontalAccuracyHorzCollectionMethod,ActivityLocation_Description,Activity_StartDate,Activity_StartTime,Activity_StartTimeZone,Activity_EndDate,Activity_EndTime,Activity_EndTimeZone,Activity_DepthHeightMeasure,Activity_DepthHeightMeasureUnit,Activity_BottomDepthAltitudeReferencePoint,Activity_ActivityRelativeDepth,Activity_TopDepthMeasure,Activity_TopDepthMeasureUnit,Activity_BottomDepthMeasure,Activity_BottomDepthMeasureUnit,SampleCollectionMethod_Identifier,SampleCollectionMethod_IdentifierContext,SampleCollectionMethod_Name,SampleCollectionMethod_QualifierTypeName,SampleCollectionMethod_Description,SampleCollectionMethod_EquipmentName,SampleCollectionMethod_EquipmentComment,SamplePrepMethod_Identifier,SamplePrepMethod_IdentifierContext,SamplePrepMethod_Name,SamplePrepMethod_QualifierType,SamplePrepMethod_Description,SamplePrepMethod_ContainerLabel,SamplePrepMethod_ContainerType,SamplePrepMethod_ContainerColor,SamplePrepMethod_ChemicalPreservativeUsed,SamplePrepMethod_ThermalPreservativeUsed,SamplePrepMethod_TransportStorageDescription,Activity_HydrologicCondition,Activity_HydrologicEvent,ActivityAttachment_FileName,ActivityAttachment_FileType,ActivityAttachment_FileDownload,Result_DataLoggerLine,Result_ResultDetectionCondition,Result_Characteristic,Result_CharacteristicUserSupplied,Result_CASNumber,Result_MethodSpeciation,Result_SampleFraction,ResultBiological_Intent,ResultBiological_IndividualIdentifier,ResultBiological_Taxon,ResultBiological_TaxonUserSupplied,ResultBiological_TaxonUserSuppliedReference,ResultBiological_UnidentifiedSpeciesIdentifier,ResultBiological_SampleTissueAnatomy,ResultBiological_GroupSummaryCount,GroupSummaryWeight_Measure,GroupSummaryWeight_MeasureUnit,ResultDepthHeight_Measure,ResultDepthHeight_MeasureUnit,ResultDepthHeight_AltitudeReferencePoint,ResultDepthHeight_SamplingPointName,ResultDepthHeight_SamplingPointType,ResultDepthHeight_SamplingPointPlaceInSeries,ResultDepthHeight_SamplingPointComment,ResultDepthHeight_RecordIdentifierUserSupplied,Result_MeasureIdentifier,Result_Measure,Result_MeasureUnit,Result_MeasureQualifierCode,Result_MeasureStatusIdentifier,Result_StatisticalBase,Result_StatisticalNValue,Result_MeasureType,Result_WeightBasis,Result_TimeBasis,Result_MeasureTemperatureBasis,Result_MeasureParticleSizeBasis,DataQuality_PrecisionValue,DataQuality_BiasValue,DataQuality_ConfidenceIntervalValue,DataQuality_UpperConfidenceLimitValue,DataQuality_LowerConfidenceLimitValue,DataQuality_ResultComment,DetectionLimit_TypeA,DetectionLimit_MeasureA,DetectionLimit_MeasureUnitA,DetectionLimit_CommentA,DetectionLimit_TypeB,DetectionLimit_MeasureB,DetectionLimit_MeasureUnitB,DetectionLimit_CommentB,LabInfo_LabSampleSplitRatio,LabInfo_LabAccreditationIndicator,LabInfo_LabAccreditationAuthority,LabInfo_TaxonAccreditationIndicator,LabInfo_TaxonAccreditationAuthority,ResultAnalyticalMethod_Identifier,ResultAnalyticalMethod_IdentifierContext,ResultAnalyticalMethod_Name,ResultAnalyticalMethod_QualifierType,ResultAnalyticalMethod_Description,Result_ComparableMethodIdentifier,Result_ComparableMethodIdentifierContext,Result_ComparableMethodModification,LabInfo_Name,LabInfo_AnalysisStartDate,LabInfo_AnalysisStartTime,LabInfo_AnalysisStartTimeZone,LabInfo_AnalysisEndDate,LabInfo_AnalysisEndTime,LabInfo_AnalysisEndTimeZone,LabInfo_LaboratoryComment,LabSamplePrepMethod_Identifier,LabSamplePrepMethod_IdentifierContext,LabSamplePrepMethod_Name,LabSamplePrepMethod_QualifierType,LabSamplePrepMethod_Description,LabSamplePrepMethod_StartDate,LabSamplePrepMethod_StartTime,LabSamplePrepMethod_StartTimeZone,LabSamplePrepMethod_EndDate,LabSamplePrepMethod_EndTime,LabSamplePrepMethod_EndTimeZone,LabSamplePrepMethod_DilutionFactor,ResultAttachment_FileName,ResultAttachment_FileType,ResultAttachment_FileDownload,ProviderName,Result_CharacteristicComparable,Result_CharacteristicGroup,Org_Type,LastChangeDate,USGSpcode,USGSSampleAquifer
USGS,U.S. Geological Survey,"[""NAWQA - National Water-Quality Assessment"",""470652421""]",,,,,,USGS-335426117232701,LAKE EVANS OUTFLOW AT RIVERSIDE CA,Stream,,California,United States of America,Riverside County,US,CA,,18070203,180702030804,,,33.9905555555556,-117.390833333333,NAD83,33.9905555555556,-117.390833333333,NAD83,,30ddfdad-a4c6-4c4a-ab4f-ad9c5ae9eaf9,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,2001-05-22,02:55:00,PDT,,,,,,,,,,,,70,USDOI/USGS,Grab/dip,,Point / Grab: Grab sample (dip),Other,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Kjeldahl nitrogen,"Total ammonia (NH4+ and NH3) plus organic nitrogen as nitrogen, water, filtered",,as N,Filtered field and/or lab,,,,,,,,,,,,,,,,,,,b6ff2def-e904-4a74-9f45-320ae5503b84,0.23,mg/L,,Provisional,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,KJ002,USDOI/USGS,"NH3+org-N, wf, FCC, Kjeldahl, CF",,"DESCRIPTION: Ammonia plus organic nitrogen, filtered water, Kjeldahl digestion, continuous flow (CF) colorimetry; CITATION(S): Patton, C.J., and Truitt, E.P., 2000, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of ammonium plus organic nitrogen by a Kjeldahl digestion method and an automated photometric finish that includes digest cleanup by gas diffusion: U.S. Geological Survey Open-File Report 00-170, 31 p. | USGS | I-2515-91",,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Nutrient,Federal/US Government,2024-09-05,00623,
USGS,U.S. Geological Survey,"[""NAWQA - National Water-Quality Assessment"",""470652421""]",,,,,,USGS-335426117232701,LAKE EVANS OUTFLOW AT RIVERSIDE CA,Stream,,California,United States of America,Riverside County,US,CA,,18070203,180702030804,,,33.9905555555556,-117.390833333333,NAD83,33.9905555555556,-117.390833333333,NAD83,,30ddfdad-a4c6-4c4a-ab4f-ad9c5ae9eaf9,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,2001-05-22,02:55:00,PDT,,,,,,,,,,,,70,USDOI/USGS,Grab/dip,,Point / Grab: Grab sample (dip),Other,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Inorganic nitrogen (nitrate and nitrite),"Nitrate plus nitrite as nitrogen, water, filtered",,as N,Filtered field and/or lab,,,,,,,,,,,,,,,,,,,88ea9dbf-d72e-42fc-92b7-d8ed514b0bd9,1.59,mg/L,,Provisional,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,CL048,USDOI/USGS,"Nutrients, wf, Cd reduct, color",,"DESCRIPTION: Nutrients, filtered water, cadmium-reduction, colorimetric; CITATION(S): Fishman, M.J., ed., 1993, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of inorganic and organic constituents in water and fluvial sediments: U.S. Geological Survey Open-File Report 93-125, p. 157-166. | USGS | I-2545-90",,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Nutrient,Federal/US Government,2024-09-04,00631,
USGS,U.S. Geological Survey,"[""NAWQA - National Water-Quality Assessment"",""470652421""]",,,,,,USGS-335426117232701,LAKE EVANS OUTFLOW AT RIVERSIDE CA,Stream,,California,United States of America,Riverside County,US,CA,,18070203,180702030804,,,33.9905555555556,-117.390833333333,NAD83,33.9905555555556,-117.390833333333,NAD83,,30ddfdad-a4c6-4c4a-ab4f-ad9c5ae9eaf9,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,2001-05-22,02:55:00,PDT,,,,,,,,,,,,70,USDOI/USGS,Grab/dip,,Point / Grab: Grab sample (dip),Other,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,"Acidity, (H+)","Hydrogen ion, water, unfiltered, calculated",12408-02-5,,Unfiltered,,,,,,,,,,,,,,,,,,,2752b0ba-d0e7-4d83-9853-3407bc0ab84b,0.00002,mg/L,,Provisional,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,ALGOR,USDOI/USGS,Computation by NWIS algorithm,,"DESCRIPTION: Computation by NWIS algorithm; CITATION(S): U.S. Geological Survey, [revised annually], Option 7 -- Display algorithm in reverse polish notation (RPN), in User's Manual for the National Water Information System of the U.S. Geological Survey--Water-Quality System: U.S. Geological Survey, accessed on June 26, 2012, at URL http://nwis.usgs.gov/currentdocs/index.html",,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,"Inorganics, Major, Non-metals",Federal/US Government,2024-09-04,00191,
USGS,U.S. Geological Survey,"[""NAWQA - National Water-Quality Assessment"",""470652400""]",,,,,,USGS-335426117232701,LAKE EVANS OUTFLOW AT RIVERSIDE CA,Stream,,California,United States of America,Riverside County,US,CA,,18070203,180702030804,,,33.9905555555556,-117.390833333333,NAD83,33.9905555555556,-117.390833333333,NAD83,,735e5be3-5f5f-4c29-b7d4-b7650ac5f6c2,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,2001-05-22,00:15:00,PDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Specific conductance,"Specific conductance, water, unfiltered, normalized to 25 degrees Celsius, laboratory",,,Unfiltered,,,,,,,,,,,,,,,,,,,08ca1249-1106-4397-a7a0-29cc1efe3534,689,uS/cm,,Provisional,,,Actual,,,25 Deg C,,,,,,,,,,,,,,,,,,,,,WHT03,USDOI/USGS,"Specific cond, lab, autom bridge",,"DESCRIPTION: Specific conductance, lab, automated, by Wheatstone bridge; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 461-463. | USGS | I-2781-85",,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2024-09-05,90095,
USGS,U.S. Geological Survey,"[""NAWQA - National Water-Quality Assessment"",""470652400""]",,,,,,USGS-335426117232701,LAKE EVANS OUTFLOW AT RIVERSIDE CA,Stream,,California,United States of America,Riverside County,US,CA,,18070203,180702030804,,,33.9905555555556,-117.390833333333,NAD83,33.9905555555556,-117.390833333333,NAD83,,735e5be3-5f5f-4c29-b7d4-b7650ac5f6c2,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,2001-05-22,00:15:00,PDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Chloride,"Chloride, water, filtered",16887-00-6,,Filtered field and/or lab,,,,,,,,,,,,,,,,,,,312556bf-483e-4d10-9723-1e14d1be076a,50.6,mg/L,,Provisional,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,IC022,USDOI/USGS,"Anions, wf, IC",,"DESCRIPTION: Anions, filtered water, ion chromatography; CITATION(S): Fishman, M.J., ed., 1993, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of inorganic and organic constituents in water and fluvial sediments: U.S. Geological Survey Open-File Report 93-125, p. 19-25. | USGS | I-2057-90 |<--->| American Public Health Association and American Water Works Association, 2012, Standard methods for the examination of water and wastewater (22d ed.): Washington, D.C., American Public Health Association, method 4110 B-2011, p. 4-5 through 4-7. | STDMETH | 4110 B-2011",,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,"Inorganics, Major, Non-metals",Federal/US Government,2024-09-05,00940,
USGS,U.S. Geological Survey,"[""NAWQA - National Water-Quality Assessment"",""470652400""]",,,,,,USGS-335426117232701,LAKE EVANS OUTFLOW AT RIVERSIDE CA,Stream,,California,United States of America,Riverside County,US,CA,,18070203,180702030804,,,33.9905555555556,-117.390833333333,NAD83,33.9905555555556,-117.390833333333,NAD83,,56b0bec9-d7f1-4da1-8910-cf301d2c45b2,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,2001-05-22,02:15:00,PDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Sulfate,"Sulfate, water, filtered",14808-79-8,,Filtered field and/or lab,,,,,,,,,,,,,,,,,,,4dcf31ea-1c4b-4c1e-b260-3da185e37220,76.5,mg/L,,Provisional,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,IC022,USDOI/USGS,"Anions, wf, IC",,"DESCRIPTION: Anions, filtered water, ion chromatography; CITATION(S): Fishman, M.J., ed., 1993, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of inorganic and organic constituents in water and fluvial sediments: U.S. Geological Survey Open-File Report 93-125, p. 19-25. | USGS | I-2057-90 |<--->| American Public Health Association and American Water Works Association, 2012, Standard methods for the examination of water and wastewater (22d ed.): Washington, D.C., American Public Health Association, method 4110 B-2011, p. 4-5 through 4-7. | STDMETH | 4110 B-2011",,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,"Inorganics, Major, Non-metals",Federal/US Government,2024-09-04,00945,
USGS,U.S. Geological Survey,"[""NAWQA - National Water-Quality Assessment"",""470652400""]",,,,,,USGS-335426117232701,LAKE EVANS OUTFLOW AT RIVERSIDE CA,Stream,,California,United States of America,Riverside County,US,CA,,18070203,180702030804,,,33.9905555555556,-117.390833333333,NAD83,33.9905555555556,-117.390833333333,NAD83,,56b0bec9-d7f1-4da1-8910-cf301d2c45b2,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,2001-05-22,02:15:00,PDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Chloride,"Chloride, water, filtered",16887-00-6,,Filtered field and/or lab,,,,,,,,,,,,,,,,,,,9dcedba2-43b6-4494-b301-d141de0b622f,50.5,mg/L,,Provisional,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,IC022,USDOI/USGS,"Anions, wf, IC",,"DESCRIPTION: Anions, filtered water, ion chromatography; CITATION(S): Fishman, M.J., ed., 1993, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of inorganic and organic constituents in water and fluvial sediments: U.S. Geological Survey Open-File Report 93-125, p. 19-25. | USGS | I-2057-90 |<--->| American Public Health Association and American Water Works Association, 2012, Standard methods for the examination of water and wastewater (22d ed.): Washington, D.C., American Public Health Association, method 4110 B-2011, p. 4-5 through 4-7. | STDMETH | 4110 B-2011",,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,"Inorganics, Major, Non-metals",Federal/US Government,2024-09-04,00940,
USGS,U.S. Geological Survey,"[""NAWQA - National Water-Quality Assessment"",""470652421""]",,,,,,USGS-335426117232701,LAKE EVANS OUTFLOW AT RIVERSIDE CA,Stream,,California,United States of America,Riverside County,US,CA,,18070203,180702030804,,,33.9905555555556,-117.390833333333,NAD83,33.9905555555556,-117.390833333333,NAD83,,30ddfdad-a4c6-4c4a-ab4f-ad9c5ae9eaf9,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,2001-05-22,02:55:00,PDT,,,,,,,,,,,,70,USDOI/USGS,Grab/dip,,Point / Grab: Grab sample (dip),Other,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Nitrate,"Nitrate as nitrogen, water, filtered",14797-55-8,as N,Filtered field and/or lab,,,,,,,,,,,,,,,,,,,712b598d-b77e-41d8-8e3a-1149a78cfba3,1.54,mg/L,,Provisional,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,ALGOR,USDOI/USGS,Computation by NWIS algorithm,,"DESCRIPTION: Computation by NWIS algorithm; CITATION(S): U.S. Geological Survey, [revised annually], Option 7 -- Display algorithm in reverse polish notation (RPN), in User's Manual for the National Water Information System of the U.S. Geological Survey--Water-Quality System: U.S. Geological Survey, accessed on June 26, 2012, at URL http://nwis.usgs.gov/currentdocs/index.html",,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Nutrient,Federal/US Government,2024-09-04,00618,
USGS,U.S. Geological Survey,"[""NAWQA - National Water-Quality Assessment"",""470652400""]",,,,,,USGS-335426117232701,LAKE EVANS OUTFLOW AT RIVERSIDE CA,Stream,,California,United States of America,Riverside County,US,CA,,18070203,180702030804,,,33.9905555555556,-117.390833333333,NAD83,33.9905555555556,-117.390833333333,NAD83,,db0ba2e3-bf90-4f9c-a3ea-503dcb082b86,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,2001-05-22,04:30:00,PDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Chloride,"Chloride, water, filtered",16887-00-6,,Filtered field and/or lab,,,,,,,,,,,,,,,,,,,94d66e5d-f63b-4c73-8525-1ba8817ba7cb,53.7,mg/L,,Provisional,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,IC022,USDOI/USGS,"Anions, wf, IC",,"DESCRIPTION: Anions, filtered water, ion chromatography; CITATION(S): Fishman, M.J., ed., 1993, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of inorganic and organic constituents in water and fluvial sediments: U.S. Geological Survey Open-File Report 93-125, p. 19-25. | USGS | I-2057-90 |<--->| American Public Health Association and American Water Works Association, 2012, Standard methods for the examination of water and wastewater (22d ed.): Washington, D.C., American Public Health Association, method 4110 B-2011, p. 4-5 through 4-7. | STDMETH | 4110 B-2011",,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,"Inorganics, Major, Non-metals",Federal/US Government,2024-09-04,00940,
USGS,U.S. Geological Survey,"[""NAWQA - National Water-Quality Assessment"",""470652400""]",,,,,,USGS-335426117232701,LAKE EVANS OUTFLOW AT RIVERSIDE CA,Stream,,California,United States of America,Riverside County,US,CA,,18070203,180702030804,,,33.9905555555556,-117.390833333333,NAD83,33.9905555555556,-117.390833333333,NAD83,,999da556-6066-411e-bb1f-5df1a0780a45,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,2001-05-22,09:30:00,PDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Agency analyzing sample,Agency analyzing sample,,,,,,,,,,,,,,,,,,,,,,f8ffc2b4-a5b3-4cb8-8b63-310ff776dc6d,"80020 - USGS-National Water Quality Lab, Denver, CO",,,Provisional,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Information,Federal/US Government,2024-09-04,00028,
USGS,U.S. Geological Survey,"[""NAWQA - National Water-Quality Assessment"",""470652421""]",,,,,,USGS-335426117232701,LAKE EVANS OUTFLOW AT RIVERSIDE CA,Stream,,California,United States of America,Riverside County,US,CA,,18070203,180702030804,,,33.9905555555556,-117.390833333333,NAD83,33.9905555555556,-117.390833333333,NAD83,,30ddfdad-a4c6-4c4a-ab4f-ad9c5ae9eaf9,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,2001-05-22,02:55:00,PDT,,,,,,,,,,,,70,USDOI/USGS,Grab/dip,,Point / Grab: Grab sample (dip),Other,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Nitrite,"Nitrite as nitrite, water, filtered",14797-65-0,as NO2,Filtered field and/or lab,,,,,,,,,,,,,,,,,,,bf93b9d6-6bc9-48ba-a498-955e9493a455,0.141,mg/L,,Provisional,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,ALGOR,USDOI/USGS,Computation by NWIS algorithm,,"DESCRIPTION: Computation by NWIS algorithm; CITATION(S): U.S. Geological Survey, [revised annually], Option 7 -- Display algorithm in reverse polish notation (RPN), in User's Manual for the National Water Information System of the U.S. Geological Survey--Water-Quality System: U.S. Geological Survey, accessed on June 26, 2012, at URL http://nwis.usgs.gov/currentdocs/index.html",,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Nutrient,Federal/US Government,2024-09-05,71856,
USGS,U.S. Geological Survey,"[""NAWQA - National Water-Quality Assessment"",""470652400""]",,,,,,USGS-335426117232701,LAKE EVANS OUTFLOW AT RIVERSIDE CA,Stream,,California,United States of America,Riverside County,US,CA,,18070203,180702030804,,,33.9905555555556,-117.390833333333,NAD83,33.9905555555556,-117.390833333333,NAD83,,db0ba2e3-bf90-4f9c-a3ea-503dcb082b86,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,2001-05-22,04:30:00,PDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Agency analyzing sample,Agency analyzing sample,,,,,,,,,,,,,,,,,,,,,,5c4bd416-8f21-45f3-9b99-526b88081b20,"80020 - USGS-National Water Quality Lab, Denver, CO",,,Provisional,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Information,Federal/US Government,2024-09-05,00028,
USGS,U.S. Geological Survey,"[""NAWQA - National Water-Quality Assessment"",""470652421""]",,,,,,USGS-335426117232701,LAKE EVANS OUTFLOW AT RIVERSIDE CA,Stream,,California,United States of America,Riverside County,US,CA,,18070203,180702030804,,,33.9905555555556,-117.390833333333,NAD83,33.9905555555556,-117.390833333333,NAD83,,30ddfdad-a4c6-4c4a-ab4f-ad9c5ae9eaf9,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,2001-05-22,02:55:00,PDT,,,,,,,,,,,,70,USDOI/USGS,Grab/dip,,Point / Grab: Grab sample (dip),Other,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Ammonia and ammonium,"Total ammonia (NH4+ and NH3) as nitrogen, water, filtered",,as N,Filtered field and/or lab,,,,,,,,,,,,,,,,,,,17e8ce1c-cf67-41f4-a280-b7b0bf427450,0.06,mg/L,,Provisional,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,CL037,USDOI/USGS,"Nutrients, wf, salicylate color",,"DESCRIPTION: Nutrients, filtered water, salicylate-hypochlorite, colorimetric; CITATION(S): Fishman, M.J., ed., 1993, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of inorganic and organic constituents in water and fluvial sediments: U.S. Geological Survey Open-File Report 93-125, p. 125-132. | USGS | I-2522-90",,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Nutrient,Federal/US Government,2024-09-04,00608,
USGS,U.S. Geological Survey,"[""NAWQA - National Water-Quality Assessment"",""470652421""]",,,,,,USGS-335426117232701,LAKE EVANS OUTFLOW AT RIVERSIDE CA,Stream,,California,United States of America,Riverside County,US,CA,,18070203,180702030804,,,33.9905555555556,-117.390833333333,NAD83,33.9905555555556,-117.390833333333,NAD83,,30ddfdad-a4c6-4c4a-ab4f-ad9c5ae9eaf9,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,2001-05-22,02:55:00,PDT,,,,,,,,,,,,70,USDOI/USGS,Grab/dip,,Point / Grab: Grab sample (dip),Other,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Specific conductance,"Specific conductance, water, unfiltered, normalized to 25 degrees Celsius, laboratory",,,Unfiltered,,,,,,,,,,,,,,,,,,,3220ac50-bc3b-4b51-8ad3-0ac54600ae27,717,uS/cm,,Provisional,,,Actual,,,25 Deg C,,,,,,,,,,,,,,,,,,,,,WHT03,USDOI/USGS,"Specific cond, lab, autom bridge",,"DESCRIPTION: Specific conductance, lab, automated, by Wheatstone bridge; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 461-463. | USGS | I-2781-85",,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2024-09-05,90095,
USGS,U.S. Geological Survey,"[""NAWQA - National Water-Quality Assessment"",""470652400""]",,,,,,USGS-335426117232701,LAKE EVANS OUTFLOW AT RIVERSIDE CA,Stream,,California,United States of America,Riverside County,US,CA,,18070203,180702030804,,,33.9905555555556,-117.390833333333,NAD83,33.9905555555556,-117.390833333333,NAD83,,a2b21455-b013-4bbb-a7be-9bc2c221acaa,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,2001-05-22,06:30:00,PDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Chloride,"Chloride, water, filtered",16887-00-6,,Filtered field and/or lab,,,,,,,,,,,,,,,,,,,569010ef-99ed-4a63-922e-d9693498a40d,53.4,mg/L,,Provisional,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,IC022,USDOI/USGS,"Anions, wf, IC",,"DESCRIPTION: Anions, filtered water, ion chromatography; CITATION(S): Fishman, M.J., ed., 1993, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of inorganic and organic constituents in water and fluvial sediments: U.S. Geological Survey Open-File Report 93-125, p. 19-25. | USGS | I-2057-90 |<--->| American Public Health Association and American Water Works Association, 2012, Standard methods for the examination of water and wastewater (22d ed.): Washington, D.C., American Public Health Association, method 4110 B-2011, p. 4-5 through 4-7. | STDMETH | 4110 B-2011",,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,"Inorganics, Major, Non-metals",Federal/US Government,2024-09-04,00940,
