PUBLICATION_DATE,TAXA_ID,TARGET_TAXON,PHYLUM,CLASS,SUBCLASS,ORDER,SUBORDER,FAMILY,SUBFAMILY,GENUS,SPECIES,SUBSPECIES,NON_NATIVE,CLADOCERA_SIZE,NET_SIZECLS_NEW,FFG,NON_TARGET
8/13/2024,1091,CERIODAPHNIA LACUSTRIS,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,DAPHNIIDAE,,CERIODAPHNIA,LACUSTRIS,,,SMALL,COARSE,HERB,
8/13/2024,1092,CERIODAPHNIA QUADRANGULA,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,DAPHNIIDAE,,CERIODAPHNIA,QUADRANGULA,,,SMALL,COARSE,HERB,
8/13/2024,1093,CERIODAPHNIA RETICULATA,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,DAPHNIIDAE,,CERIODAPHNIA,RETICULATA,,,SMALL,COARSE,HERB,
8/13/2024,1094,CHAOBORUS,ARTHROPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,CHAOBORIDAE,CHAOBORINAE,CHAOBORUS,,,,,COARSE,PRED,
8/13/2024,1095,CHYDORIDAE,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,CHYDORIDAE,,,,,,SMALL,COARSE,HERB,
8/13/2024,1096,CHYDORUS,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,CHYDORIDAE,,CHYDORUS,,,,SMALL,FINE,HERB,
8/13/2024,1097,CHYDORUS BICORNUTUS,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,CHYDORIDAE,,CHYDORUS,BICORNUTUS,,,SMALL,COARSE,HERB,
8/13/2024,1098,CHYDORUS SPHAERICUS,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,CHYDORIDAE,,CHYDORUS,SPHAERICUS,,,SMALL,COARSE,HERB,
8/13/2024,1099,CLADOCERA,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,,,,,,,SMALL,COARSE,HERB,
8/13/2024,1100,COLLOTHECA,ROTIFERA,EUROTATORIA,MONOGONONTA,COLLOTHECACEAE,,COLLOTHECIDAE,,COLLOTHECA,,,,,FINE,PRED,
8/13/2024,1101,COLLOTHECA LIBERA,ROTIFERA,EUROTATORIA,MONOGONONTA,COLLOTHECACEAE,,COLLOTHECIDAE,,COLLOTHECA,LIBERA,,,,FINE,PRED,
8/13/2024,1102,COLLOTHECA MUTABILIS,ROTIFERA,EUROTATORIA,MONOGONONTA,COLLOTHECACEAE,,COLLOTHECIDAE,,COLLOTHECA,MUTABILIS,,,,FINE,PRED,
8/13/2024,1103,COLLOTHECA ORNATA,ROTIFERA,EUROTATORIA,MONOGONONTA,COLLOTHECACEAE,,COLLOTHECIDAE,,COLLOTHECA,ORNATA,,,,FINE,PRED,
8/13/2024,1104,COLLOTHECA ORNATA NATANS,ROTIFERA,EUROTATORIA,MONOGONONTA,COLLOTHECACEAE,,COLLOTHECIDAE,,COLLOTHECA,ORNATA,NATANS,,,FINE,PRED,
8/13/2024,1105,COLLOTHECA PELAGICA,ROTIFERA,EUROTATORIA,MONOGONONTA,COLLOTHECACEAE,,COLLOTHECIDAE,,COLLOTHECA,PELAGICA,,,,FINE,PRED,
8/13/2024,1106,COLLOTHECA TRILOBA,ROTIFERA,EUROTATORIA,MONOGONONTA,COLLOTHECACEAE,,COLLOTHECIDAE,,COLLOTHECA,TRILOBA,,,,FINE,PRED,
8/13/2024,1107,COLURELLA,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,LEPADELLIDAE,,COLURELLA,,,,,FINE,HERB,
8/13/2024,1108,COLURELLA ADRIATICA,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,LEPADELLIDAE,,COLURELLA,ADRIATICA,,,,FINE,HERB,
8/13/2024,1109,COLURELLA HINDENBURGI,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,LEPADELLIDAE,,COLURELLA,HINDENBURGI,,,,FINE,HERB,
8/13/2024,1110,COLURELLA OBLONGA,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,LEPADELLIDAE,,COLURELLA,OBLONGA,,,,FINE,HERB,
8/13/2024,1111,COLURELLA UNCINATA,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,LEPADELLIDAE,,COLURELLA,UNCINATA,,,,FINE,HERB,
8/13/2024,1112,COLURELLA UNCINATA BICUSPIDATA,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,LEPADELLIDAE,,COLURELLA,UNCINATA,BICUSPIDATA,,,FINE,HERB,
8/13/2024,1113,CONOCHILOIDES,ROTIFERA,EUROTATORIA,MONOGONONTA,FLOSCULARIACEAE,,CONOCHILIDAE,,CONOCHILOIDES,,,,,FINE,HERB,
8/13/2024,1114,CONOCHILOIDES COENOBASIS,ROTIFERA,EUROTATORIA,MONOGONONTA,FLOSCULARIACEAE,,CONOCHILIDAE,,CONOCHILOIDES,COENOBASIS,,,,FINE,HERB,
8/13/2024,1115,CONOCHILOIDES DOSSUARIUS,ROTIFERA,EUROTATORIA,MONOGONONTA,FLOSCULARIACEAE,,CONOCHILIDAE,,CONOCHILOIDES,DOSSUARIUS,,,,FINE,HERB,
8/13/2024,1116,CONOCHILOIDES NATANS,ROTIFERA,EUROTATORIA,MONOGONONTA,FLOSCULARIACEAE,,CONOCHILIDAE,,CONOCHILOIDES,NATANS,,,,FINE,HERB,
8/13/2024,1117,CONOCHILUS,ROTIFERA,EUROTATORIA,MONOGONONTA,FLOSCULARIACEAE,,CONOCHILIDAE,,CONOCHILUS,,,,,FINE,HERB,
8/13/2024,1118,CONOCHILUS HIPPOCREPIS,ROTIFERA,EUROTATORIA,MONOGONONTA,FLOSCULARIACEAE,,CONOCHILIDAE,,CONOCHILUS,HIPPOCREPIS,,,,FINE,HERB,
8/13/2024,1119,CONOCHILUS UNICORNIS,ROTIFERA,EUROTATORIA,MONOGONONTA,FLOSCULARIACEAE,,CONOCHILIDAE,,CONOCHILUS,UNICORNIS,,,,FINE,HERB,
8/13/2024,1120,COPEPODA,ARTHROPODA,MAXILLOPODA,COPEPODA,,,,,,,,,,FINE,UNK,
8/13/2024,1121,CYCLOPOIDA,ARTHROPODA,MAXILLOPODA,COPEPODA,CYCLOPOIDA,,,,,,,,,COARSE,UNK,
8/13/2024,1122,CYCLOPS SCUTIFER,ARTHROPODA,MAXILLOPODA,COPEPODA,CYCLOPOIDA,,CYCLOPIDAE,,CYCLOPS,SCUTIFER,,,,COARSE,OMNI,
8/13/2024,1123,CYPRIDIDAE,ARTHROPODA,OSTRACODA,PODOCOPA,PODOCOPIDA,,CYPRIDIDAE,,,,,,,COARSE,,
8/13/2024,1124,DAPHNIA,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,DAPHNIIDAE,,DAPHNIA,,,,LARGE,COARSE,OMNI,
8/13/2024,1125,DAPHNIA AMBIGUA,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,DAPHNIIDAE,,DAPHNIA,AMBIGUA,,,LARGE,COARSE,HERB,
8/13/2024,1126,DAPHNIA CATAWBA,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,DAPHNIIDAE,,DAPHNIA,CATAWBA,,,LARGE,COARSE,HERB,
8/13/2024,1127,DAPHNIA DENTIFERA,ARTHROPODA,BRANCHIOPODA,PHYLLOPODA,DIPLOSTRACA,CLADOCERA,DAPHNIIDAE,,DAPHNIA,DENTIFERA,,,LARGE,COARSE,HERB,
