PUBLICATION_DATE,UID,UNIQUE_ID,SITE_ID,VISIT_NO,DATE_COL,PSTL_CODE,LINE,SAMPLE_TYPE,DEPTH,ARRIVAL_TIME,CALIBRATION_VERIFIED,CONDUCTIVITY,CONDUCTIVITY_NARS_COMMENT,CONDUCTIVITY_NARS_FLAG,DEPTH_METHOD,DUPLICATE_DO,E_FILE,INDEX_GPS_FIX,INDEX_LAT_DD,INDEX_LON_DD,INDEX_SITE_DEPTH,METALIMNION,ODOR,ODOR_DESC,OXYGEN,OXYGEN_NARS_COMMENT,OXYGEN_NARS_FLAG,PH,PH_NARS_COMMENT,PH_NARS_FLAG,PRECIPITATION,REVIEW,SCUM,SCUM_DESC,SURFACE_COND,TEMPERATURE,TEMPERATURE_NARS_COMMENT,TEMPERATURE_NARS_FLAG,COMMENT
8/13/2024,2020241,NLA_AZ-10117,NLA22_AZ-10026,1,5/11/2022,AZ,1,PROF,1,,,,,NR,,,,,,,,,,,9.2,,,8.71,,,,,,,,25.4,,,
8/13/2024,2020241,NLA_AZ-10117,NLA22_AZ-10026,1,5/11/2022,AZ,2,PROF,2,,,,,NR,,,,,,,,,,,8.8,,,8.69,,,,,,,,24.8,,,
8/13/2024,2020241,NLA_AZ-10117,NLA22_AZ-10026,1,5/11/2022,AZ,4,PROF,3.7,,,,,NR,,,,,,,,,,,6.8,,,8.48,,,,,,,,24.4,,,
8/13/2024,2020242,NLA_CA-10026,NES22-10186,1,5/15/2022,CA,3,PROF,3,,,,,NR,,,,,,,,B,,,5.5,,,8.9,,,,,,,,18.3,,,
8/13/2024,2020242,NLA_CA-10026,NES22-10186,1,5/15/2022,CA,2,PROF,2,,,,,NR,,,,,,,,T,,,11.2,,,9.1,,,,,,,,20.1,,,
8/13/2024,2020242,NLA_CA-10026,NES22-10186,1,5/15/2022,CA,0,PROF,0.1,15:06,,,,NR,SONAR,Y,,3D,33.2359,-116.75031,3.5,,,,11.4,,,9.1,,,NONE,Y,,,CHOPPY,20.2,,,
8/13/2024,2020242,NLA_CA-10026,NES22-10186,1,5/15/2022,CA,1,PROF,1,,,,,NR,,,,,,,,,,,11.4,,,9.1,,,,,,,,20.2,,,
8/13/2024,2020243,NLA_AZ-10122,NLA22_AZ-10032,1,5/16/2022,AZ,3,PROF,2.5,,,,,NR,,,,,,,,,,,7.9,,,8.1,,,,,,,,23.3,,,
8/13/2024,2020243,NLA_AZ-10122,NLA22_AZ-10032,1,5/16/2022,AZ,2,PROF,2,,,,,NR,,,,,,,,,,,8.7,,,8.2,,,,,,,,23.8,,,
8/13/2024,2020243,NLA_AZ-10122,NLA22_AZ-10032,1,5/16/2022,AZ,1,PROF,1,,,,,NR,,,,,,,,,,,9.1,,,8.2,,,,,,,,24.3,,,
8/13/2024,2020243,NLA_AZ-10122,NLA22_AZ-10032,1,5/16/2022,AZ,0,PROF,0.1,10:07,,,,NR,SONAR,Y,,3D,32.82125,-114.46917,3,,,,8.9,,,8.2,,,NONE,Y,,,RIPPLES,25.2,,,
8/13/2024,2020244,NLA_AZ-10185,NLA22_AZ-10008,1,5/17/2022,AZ,8,PROF,8,,,,,NR,,,,,,,,B,,,2.3,,,7.3,,,,,,,,8,,,
8/13/2024,2020244,NLA_AZ-10185,NLA22_AZ-10008,1,5/17/2022,AZ,4,PROF,4,,,,,NR,,,,,,,,,,,8.4,,,8.3,,,,,,,,16.5,,,
8/13/2024,2020244,NLA_AZ-10185,NLA22_AZ-10008,1,5/17/2022,AZ,3,PROF,3,,,,,NR,,,,,,,,T,,,8.5,,,8.4,,,,,,,,17.6,,,
8/13/2024,2020244,NLA_AZ-10185,NLA22_AZ-10008,1,5/17/2022,AZ,0,PROF,0.1,9:31,,,,NR,SONAR,Y,,3D,34.51902,-112.38544,13,,,,8.5,,,8.4,,,NONE,Y,,,RIPPLES,18.3,,,
8/13/2024,2020244,NLA_AZ-10185,NLA22_AZ-10008,1,5/17/2022,AZ,2,PROF,2,,,,,NR,,,,,,,,,,,8.5,,,8.4,,,,,,,,17.8,,,
8/13/2024,2020244,NLA_AZ-10185,NLA22_AZ-10008,1,5/17/2022,AZ,13,PROF,12.5,,,,,NR,,,,,,,,,,,0.1,,,7.2,,,,,,,,6.9,,,
8/13/2024,2020244,NLA_AZ-10185,NLA22_AZ-10008,1,5/17/2022,AZ,1,PROF,1,,,,,NR,,,,,,,,,,,8.5,,,8.4,,,,,,,,18.2,,,
8/13/2024,2020244,NLA_AZ-10185,NLA22_AZ-10008,1,5/17/2022,AZ,12,PROF,12,,,,,NR,,,,,,,,,,,0.1,,,7.2,,,,,,,,6.9,,,
8/13/2024,2020244,NLA_AZ-10185,NLA22_AZ-10008,1,5/17/2022,AZ,5,PROF,5,,,,,NR,,,,,,,,,,,7.5,,,8.1,,,,,,,,15.3,,,
8/13/2024,2020244,NLA_AZ-10185,NLA22_AZ-10008,1,5/17/2022,AZ,6,PROF,6,,,,,NR,,,,,,,,,,,7.1,,,7.6,,,,,,,,11.1,,,
8/13/2024,2020244,NLA_AZ-10185,NLA22_AZ-10008,1,5/17/2022,AZ,9,PROF,9,,,,,NR,,,,,,,,,,,1.1,,,7.2,,,,,,,,7.6,,,
8/13/2024,2020244,NLA_AZ-10185,NLA22_AZ-10008,1,5/17/2022,AZ,11,PROF,11,,,,,NR,,,,,,,,,,,0.2,,,7.2,,,,,,,,7.1,,,
8/13/2024,2020244,NLA_AZ-10185,NLA22_AZ-10008,1,5/17/2022,AZ,7,PROF,7,,,,,NR,,,,,,,,,,,4.3,,,7.4,,,,,,,,8.9,,,
8/13/2024,2020244,NLA_AZ-10185,NLA22_AZ-10008,1,5/17/2022,AZ,10,PROF,10,,,,,NR,,,,,,,,,,,0.6,,,7.2,,,,,,,,7.2,,,
8/13/2024,2020250,NLA_AZ-10139,NLA22_AZ-10050,1,5/18/2022,AZ,2,PROF,0.75,,,,,NR,,,,,,,,,,,2.3,,,7.1,,,,,,,,15.6,,,
8/13/2024,2020250,NLA_AZ-10139,NLA22_AZ-10050,1,5/18/2022,AZ,0,PROF,0.1,11:33,,,,NR,LINE,Y,,3D,34.46201,-111.34554,1.25,,,,9.5,,,9.4,,,NONE,Y,,,RIPPLES,20.4,,,
8/13/2024,2020250,NLA_AZ-10139,NLA22_AZ-10050,1,5/18/2022,AZ,1,PROF,0.5,,,,,NR,,,,,,,,,,,7.6,,,8.7,,,,,,,,16.4,,,
8/13/2024,2020254,NLA_AZ-10183,NLA22_AZ-10006,1,5/19/2022,AZ,9,PROF,9,,,,,NR,,,,,,,,,,,2.5,,,6.1,,,,,,,,8.2,,,
8/13/2024,2020254,NLA_AZ-10183,NLA22_AZ-10006,1,5/19/2022,AZ,8,PROF,8,,,,,NR,,,,,,,,,,,4.7,,,6.5,,,,,,,,10.4,,,
8/13/2024,2020254,NLA_AZ-10183,NLA22_AZ-10006,1,5/19/2022,AZ,1,PROF,1,,,,,NR,,,,,,,,,,,8,,,7.5,,,,,,,,17,,,
8/13/2024,2020254,NLA_AZ-10183,NLA22_AZ-10006,1,5/19/2022,AZ,16,PROF,16,,,,,NR,,,,,,,,,,,1.9,,,5.9,,,,,,,,5.9,,,
8/13/2024,2020254,NLA_AZ-10183,NLA22_AZ-10006,1,5/19/2022,AZ,14,PROF,14,,,,,NR,,,,,,,,,,,2.6,,,5.9,,,,,,,,6,,,
8/13/2024,2020254,NLA_AZ-10183,NLA22_AZ-10006,1,5/19/2022,AZ,5,PROF,5,,,,,NR,,,,,,,,,,,8.7,,,7.8,,,,,,,,13.5,,,
8/13/2024,2020254,NLA_AZ-10183,NLA22_AZ-10006,1,5/19/2022,AZ,7,PROF,7,,,,,NR,,,,,,,,,,,6.2,,,6.8,,,,,,,,11.5,,,
8/13/2024,2020254,NLA_AZ-10183,NLA22_AZ-10006,1,5/19/2022,AZ,6,PROF,6,,,,,NR,,,,,,,,,,,8.2,,,7.4,,,,,,,,12.9,,,
8/13/2024,2020254,NLA_AZ-10183,NLA22_AZ-10006,1,5/19/2022,AZ,4,PROF,4,,,,,NR,,,,,,,,,,,8.7,,,7.6,,,,,,,,14.3,,,
8/13/2024,2020254,NLA_AZ-10183,NLA22_AZ-10006,1,5/19/2022,AZ,12,PROF,12,,,,,NR,,,,,,,,,,,2.3,,,5.9,,,,,,,,6.5,,,
8/13/2024,2020254,NLA_AZ-10183,NLA22_AZ-10006,1,5/19/2022,AZ,13,PROF,13,,,,,NR,,,,,,,,,,,2.5,,,5.9,,,,,,,,6.3,,,
8/13/2024,2020254,NLA_AZ-10183,NLA22_AZ-10006,1,5/19/2022,AZ,17,PROF,16.4,,,,,NR,,,,,,,,,,,1.9,,,5.9,,,,,,,,5.9,,,
8/13/2024,2020254,NLA_AZ-10183,NLA22_AZ-10006,1,5/19/2022,AZ,15,PROF,15,,,,,NR,,,,,,,,,,,1.8,,,5.9,,,,,,,,5.9,,,
8/13/2024,2020254,NLA_AZ-10183,NLA22_AZ-10006,1,5/19/2022,AZ,2,PROF,2,,,,,NR,,,,,,,,T,,,8,,,7.6,,,,,,,,16.9,,,
8/13/2024,2020254,NLA_AZ-10183,NLA22_AZ-10006,1,5/19/2022,AZ,3,PROF,3,,,,,NR,,,,,,,,,,,8.5,,,7.8,,,,,,,,15.8,,,
8/13/2024,2020254,NLA_AZ-10183,NLA22_AZ-10006,1,5/19/2022,AZ,0,PROF,0.1,9:12,,,,NR,SONAR,Y,,3D,34.31374,-110.876594,18,,,,8,,,7.5,,,NONE,Y,,,RIPPLES,17,,,
8/13/2024,2020254,NLA_AZ-10183,NLA22_AZ-10006,1,5/19/2022,AZ,11,PROF,11,,,,,NR,,,,,,,,,,,1.5,,,5.9,,,,,,,,6.6,,,
8/13/2024,2020254,NLA_AZ-10183,NLA22_AZ-10006,1,5/19/2022,AZ,10,PROF,10,,,,,NR,,,,,,,,B,,,1.6,,,6,,,,,,,,7.2,,,
8/13/2024,2020256,NLA_AZ-10015,NES22-10198,1,5/20/2022,AZ,3,PROF,3,,,,,NR,,,,,,,,,,,6.8,,,8.1,,,,,,,,15.7,,,
8/13/2024,2020256,NLA_AZ-10015,NES22-10198,1,5/20/2022,AZ,4,PROF,4,,,,,NR,,,,,,,,,,,6.1,,,8,,,,,,,,15.3,,,
8/13/2024,2020256,NLA_AZ-10015,NES22-10198,1,5/20/2022,AZ,2,PROF,2,,,,,NR,,,,,,,,T,,,7.9,,,8.4,,,,,,,,16.8,,,
8/13/2024,2020256,NLA_AZ-10015,NES22-10198,1,5/20/2022,AZ,6,PROF,6,,,,,NR,,,,,,,,,,,3.3,,,7.6,,,,,,,,14,,,
8/13/2024,2020256,NLA_AZ-10015,NES22-10198,1,5/20/2022,AZ,0,PROF,0.1,8:45,,,,NR,SONAR,Y,,3D,34.2724,-110.07225,6.8,,,,8,,,8.5,,,NONE,Y,,,CHOPPY,17,,,
8/13/2024,2020256,NLA_AZ-10015,NES22-10198,1,5/20/2022,AZ,1,PROF,1,,,,,NR,,,,,,,,,,,8,,,8.5,,,,,,,,17,,,
8/13/2024,2020256,NLA_AZ-10015,NES22-10198,1,5/20/2022,AZ,5,PROF,5,,,,,NR,,,,,,,,,,,3.7,,,7.6,,,,,,,,14.1,,,
8/13/2024,2020257,NLA_AZ-10191,NLA22_AZ-10098,1,5/22/2022,AZ,3,PROF,2.6,,,,,NR,,,,,,,,,,,7,,,8.7,,,,,,,,15.3,,,
8/13/2024,2020257,NLA_AZ-10191,NLA22_AZ-10098,1,5/22/2022,AZ,2,PROF,2,,,,,NR,,,,,,,,,,,7.4,,,8.7,,,,,,,,15.8,,,
8/13/2024,2020257,NLA_AZ-10191,NLA22_AZ-10098,1,5/22/2022,AZ,1,PROF,1,,,,,NR,,,,,,,,,,,7.4,,,8.7,,,,,,,,15.9,,,
8/13/2024,2020257,NLA_AZ-10191,NLA22_AZ-10098,1,5/22/2022,AZ,0,PROF,0.1,11:22,,,,NR,SONAR,Y,,,33.83055,-109.08517,3.1,,,,7.4,,,8.7,,,NONE,Y,,,RIPPLES,16,,,
8/13/2024,2020259,NLA_AZ-10020,NES22-10195,1,5/23/2022,AZ,3,PROF,2.5,,,,,NR,,,,,,,,,,,7.3,,,8.5,,,,,,,,16.6,,,
8/13/2024,2020259,NLA_AZ-10020,NES22-10195,1,5/23/2022,AZ,2,PROF,2,,,,,NR,,,,,,,,,,,7.3,,,8.5,,,,,,,,16.6,,,
8/13/2024,2020259,NLA_AZ-10020,NES22-10195,1,5/23/2022,AZ,1,PROF,1,,,,,NR,,,,,,,,,,,7.3,,,8.5,,,,,,,,17.1,,,
8/13/2024,2020259,NLA_AZ-10020,NES22-10195,1,5/23/2022,AZ,0,PROF,0.1,8:41,,,,NR,SONAR,Y,,,34.36298,-109.3653,3,,,,7.4,,,8.5,,,NONE,Y,,,FLAT,17.7,,,
8/13/2024,2020262,NLA_NM-10094,NLA22_NM-10015,1,5/24/2022,NM,12,PROF,12,,,,,NR,,,,,,,,,,,9.2,,,8,,,,,,,,10.4,,,
8/13/2024,2020262,NLA_NM-10094,NLA22_NM-10015,1,5/24/2022,NM,4,PROF,4,,,,,NR,,,,,,,,,,,9.3,,,8.1,,,,,,,,10.9,,,
8/13/2024,2020262,NLA_NM-10094,NLA22_NM-10015,1,5/24/2022,NM,11,PROF,11,,,,,NR,,,,,,,,,,,9.2,,,8,,,,,,,,10.5,,,
8/13/2024,2020262,NLA_NM-10094,NLA22_NM-10015,1,5/24/2022,NM,0,PROF,0.1,10:15,,,,NR,SONAR,Y,,,36.68883,-107.68479,16.7,,,,9.3,,,8.1,,,NONE,Y,,,RIPPLES,11.3,,,
8/13/2024,2020262,NLA_NM-10094,NLA22_NM-10015,1,5/24/2022,NM,13,PROF,13,,,,,NR,,,,,,,,T,,,9,,,8,,,,,,,,10.1,,,
8/13/2024,2020262,NLA_NM-10094,NLA22_NM-10015,1,5/24/2022,NM,2,PROF,2,,,,,NR,,,,,,,,,,,9.3,,,8.1,,,,,,,,11.1,,,
8/13/2024,2020262,NLA_NM-10094,NLA22_NM-10015,1,5/24/2022,NM,3,PROF,3,,,,,NR,,,,,,,,,,,9.3,,,8.1,,,,,,,,11,,,
8/13/2024,2020262,NLA_NM-10094,NLA22_NM-10015,1,5/24/2022,NM,8,PROF,8,,,,,NR,,,,,,,,,,,9.1,,,8,,,,,,,,10.7,,,
8/13/2024,2020262,NLA_NM-10094,NLA22_NM-10015,1,5/24/2022,NM,5,PROF,5,,,,,NR,,,,,,,,,,,9.2,,,8.1,,,,,,,,10.9,,,
8/13/2024,2020262,NLA_NM-10094,NLA22_NM-10015,1,5/24/2022,NM,6,PROF,6,,,,,NR,,,,,,,,,,,9.2,,,8.1,,,,,,,,10.8,,,
8/13/2024,2020262,NLA_NM-10094,NLA22_NM-10015,1,5/24/2022,NM,14,PROF,14,,,,,NR,,,,,,,,,,,8.3,,,7.8,,,,,,,,8.8,,,
8/13/2024,2020262,NLA_NM-10094,NLA22_NM-10015,1,5/24/2022,NM,10,PROF,10,,,,,NR,,,,,,,,,,,9.2,,,8,,,,,,,,10.6,,,
8/13/2024,2020262,NLA_NM-10094,NLA22_NM-10015,1,5/24/2022,NM,9,PROF,9,,,,,NR,,,,,,,,,,,9.2,,,8,,,,,,,,10.7,,,
8/13/2024,2020262,NLA_NM-10094,NLA22_NM-10015,1,5/24/2022,NM,15,PROF,15,,,,,NR,,,,,,,,B,,,8.2,,,7.8,,,,,,,,8.5,,,
8/13/2024,2020262,NLA_NM-10094,NLA22_NM-10015,1,5/24/2022,NM,17,PROF,16.2,,,,,NR,,,,,,,,,,,7.6,,,7.7,,,,,,,,8.3,,,
8/13/2024,2020262,NLA_NM-10094,NLA22_NM-10015,1,5/24/2022,NM,16,PROF,16,,,,,NR,,,,,,,,,,,7.7,,,7.7,,,,,,,,8.3,,,
8/13/2024,2020262,NLA_NM-10094,NLA22_NM-10015,1,5/24/2022,NM,1,PROF,1,,,,,NR,,,,,,,,,,,9.3,,,8.1,,,,,,,,11.2,,,
8/13/2024,2020262,NLA_NM-10094,NLA22_NM-10015,1,5/24/2022,NM,7,PROF,7,,,,,NR,,,,,,,,,,,9.2,,,8,,,,,,,,10.8,,,
8/13/2024,2020269,NLA_NJ-10043,NLA22_NJ-10023,1,6/8/2022,NJ,3,PROF,1.3,,,,,NR,,,,,,,,,,,6.81,,,7.85,,,,,,,,22.8,,,
8/13/2024,2020269,NLA_NJ-10043,NLA22_NJ-10023,1,6/8/2022,NJ,0,PROF,0.1,9:02,,,,NR,POLE,Y,,3D,40.903079,-74.702418,1.8,,,,8.22,,,8.47,,,LIGHT,Y,,,FLAT,23.2,,,
8/13/2024,2020269,NLA_NJ-10043,NLA22_NJ-10023,1,6/8/2022,NJ,2,PROF,1,,,,,NR,,,,,,,,,,,7,,,7.91,,,,,,,,22.8,,,
8/13/2024,2020269,NLA_NJ-10043,NLA22_NJ-10023,1,6/8/2022,NJ,1,PROF,0.5,,,,,NR,,,,,,,,,,,7.72,,,8.33,,,,,,,,23,,,
8/13/2024,2020270,NLA_NJ-10023,NLA22_NJ-10003,1,6/7/2022,NJ,1,PROF,0.5,,,,,NR,,,,,,,,,,,3.09,,,6.58,,,,,,,,23,,,
8/13/2024,2020270,NLA_NJ-10023,NLA22_NJ-10003,1,6/7/2022,NJ,0,PROF,0.1,9:12,,,,NR,POLE,Y,,3D,40.22515,-74.003783,1.1,,,,3.46,,,6.56,,,NONE,Y,,,RIPPLES,23.2,,,
8/13/2024,2020270,NLA_NJ-10023,NLA22_NJ-10003,1,6/7/2022,NJ,2,PROF,0.6,,,,,NR,,,,,,,,,,,2.87,,,6.59,,,,,,,,22.9,,,
8/13/2024,2020277,NLA_NM-10024,NLA22_NM-10013,1,5/25/2022,NM,0,PROF,0.1,11:22,,,,NR,SONAR,Y,,3D,36.57773,-104.65739,2.7,,,,9,,,8.7,,,NONE,Y,,,CHOPPY,12.1,,,
8/13/2024,2020277,NLA_NM-10024,NLA22_NM-10013,1,5/25/2022,NM,4,PROF,2,,,,,NR,,,,,,,,,,,9.1,,,8.7,,,,,,,,12,,,
8/13/2024,2020277,NLA_NM-10024,NLA22_NM-10013,1,5/25/2022,NM,1,PROF,0.5,,,,,NR,,,,,,,,,,,9,,,8.7,,,,,,,,12.1,,,
8/13/2024,2020277,NLA_NM-10024,NLA22_NM-10013,1,5/25/2022,NM,2,PROF,1,,,,,NR,,,,,,,,,,,9.1,,,8.7,,,,,,,,12.1,,,
8/13/2024,2020277,NLA_NM-10024,NLA22_NM-10013,1,5/25/2022,NM,5,PROF,2.2,,,,,NR,,,,,,,,,,,9.2,,,8.7,,,,,,,,12,,,
8/13/2024,2020277,NLA_NM-10024,NLA22_NM-10013,1,5/25/2022,NM,3,PROF,1.5,,,,,NR,,,,,,,,,,,9.1,,,8.7,,,,,,,,12,,,
8/13/2024,2020280,NLA_NJ-10025,NLA22_NJ-10009,1,6/1/2022,NJ,4,PROF,1.6,,,,,NR,,,,,,,,,,,4.38,,,6.53,,,,,,,,24.5,,,
8/13/2024,2020280,NLA_NJ-10025,NLA22_NJ-10009,1,6/1/2022,NJ,1,PROF,0.5,,,,,NR,,,,,,,,,,,7.77,,,6.78,,,,,,,,26.2,,,
8/13/2024,2020280,NLA_NJ-10025,NLA22_NJ-10009,1,6/1/2022,NJ,3,PROF,1.5,,,,,NR,,,,,,,,B,,,5.25,,,6.58,,,,,,,,24.7,,,
8/13/2024,2020280,NLA_NJ-10025,NLA22_NJ-10009,1,6/1/2022,NJ,2,PROF,1,,,,,NR,,,,,,,,T,,,7.62,,,6.85,,,,,,,,26.2,,,
8/13/2024,2020280,NLA_NJ-10025,NLA22_NJ-10009,1,6/1/2022,NJ,0,PROF,0.1,8:23,,,,NR,POLE,Y,,3D,39.934989,-74.924317,2.1,,,,7.78,,,6.77,,,NONE,Y,,,FLAT,26.2,,,
8/13/2024,2020281,NLA_NJ-10042,NLA22_NJ-10022,1,7/6/2022,NJ,4,PROF,3.7,,,,,NR,,,,,,,,B,,,0.43,,,6.89,,,,,,,,21.27,,,
8/13/2024,2020281,NLA_NJ-10042,NLA22_NJ-10022,1,7/6/2022,NJ,0,PROF,0.1,9:53,,,,NR,SONAR,Y,,3D,39.688753,-75.45379,4.2,,,,13.07,,,8.33,,,LIGHT,Y,,,FLAT,28.1,,,
8/13/2024,2020281,NLA_NJ-10042,NLA22_NJ-10022,1,7/6/2022,NJ,1,PROF,1,,,,,NR,,,,,,,,,,,13.04,,,8.34,,,,,,,,27.7,,,
8/13/2024,2020281,NLA_NJ-10042,NLA22_NJ-10022,1,7/6/2022,NJ,2,PROF,2,,,,,NR,,,,,,,,T,,,12.73,,,7.95,,,,,,,,26.9,,,
8/13/2024,2020281,NLA_NJ-10042,NLA22_NJ-10022,1,7/6/2022,NJ,3,PROF,3,,,,,NR,,,,,,,,,,,0.78,,,7.07,,,,,,,,24.1,,,
8/13/2024,2020283,NLA_PA-10043,NLA22_PA-10002,1,6/1/2022,PA,1,PROF,1,,,171,,,,,,,,,,,,,9.5,,,8.16,,,,,,,,26.2,,,
8/13/2024,2020283,NLA_PA-10043,NLA22_PA-10002,1,6/1/2022,PA,3,PROF,3,,,173,,,,,,,,,,,,,1.3,,,7.57,,,,,,,,14.8,,,
8/13/2024,2020283,NLA_PA-10043,NLA22_PA-10002,1,6/1/2022,PA,0,PROF,0.1,9:03,,171,,,SONAR,Y,,3D,39.98015,-77.17683,3.8,,,,9.6,,,8.3,,,NONE,Y,,,FLAT,26.5,,,
8/13/2024,2020283,NLA_PA-10043,NLA22_PA-10002,1,6/1/2022,PA,4,PROF,3.3,,,184,,,,,,,,,,B,,,0.7,,,7.08,,,,,,,,13.9,,,
8/13/2024,2020283,NLA_PA-10043,NLA22_PA-10002,1,6/1/2022,PA,2,PROF,2,,,169,,,,,,,,,,T,,,10.8,,,8.38,,,,,,,,20.7,,,
8/13/2024,2020284,NLA_NJ-10021,NLA22_NJ-10001,1,7/12/2022,NJ,3,PROF,3,,,,,NR,,,,,,,,T,,,7.52,,,5.34,,,,,,,,25.4,,,
8/13/2024,2020284,NLA_NJ-10021,NLA22_NJ-10001,1,7/12/2022,NJ,0,PROF,0.1,9:10,,,,NR,SONAR,Y,,3D,41.039607,-74.996713,4.4,,,,7.59,,,5.06,,,NONE,Y,,,RIPPLES,25.6,,,
8/13/2024,2020284,NLA_NJ-10021,NLA22_NJ-10001,1,7/12/2022,NJ,1,PROF,1,,,,,NR,,,,,,,,,,,7.55,,,5.22,,,,,,,,25.6,,,
8/13/2024,2020284,NLA_NJ-10021,NLA22_NJ-10001,1,7/12/2022,NJ,4,PROF,3.9,,,,,NR,,,,,,,,B,,,1.14,,,4.97,,,,,,,,24.1,,,
8/13/2024,2020284,NLA_NJ-10021,NLA22_NJ-10001,1,7/12/2022,NJ,2,PROF,2,,,,,NR,,,,,,,,,,,7.55,,,5.26,,,,,,,,25.5,,,
8/13/2024,2020285,NLA_MI-10272,NLA22_MI-10126,1,6/1/2022,MI,0,PROF,0.1,10:58,,603,,,SONAR,Y,,3D,42.88913,-83.12077,2.4,,,,5.8,,,7.9,,,NONE,Y,,,FLAT,25.1,,,
8/13/2024,2020285,NLA_MI-10272,NLA22_MI-10126,1,6/1/2022,MI,3,PROF,1.9,,,597,,,,,,,,,,,,,0.4,,,7.2,,,,,,,,15.4,,,
8/13/2024,2020285,NLA_MI-10272,NLA22_MI-10126,1,6/1/2022,MI,1,PROF,0.5,,,600,,,,,,,,,,,,,3.8,,,7.7,,,,,,,,24,,,
8/13/2024,2020285,NLA_MI-10272,NLA22_MI-10126,1,6/1/2022,MI,2,PROF,1.5,,,597,,,,,,,,,,,,,2.3,,,7.7,,,,,,,,19.7,,,
8/13/2024,2020286,NLA_ND-10144,NLA22_ND-10002,1,6/1/2022,ND,4,PROF,2,,,1065,,,,,,,,,,,,,9.1,,,8.61,,,,,,,,14.3,,,
8/13/2024,2020286,NLA_ND-10144,NLA22_ND-10002,1,6/1/2022,ND,1,PROF,0.5,,,1065,,,,,,,,,,,,,9.1,,,8.61,,,,,,,,14.3,,,
8/13/2024,2020286,NLA_ND-10144,NLA22_ND-10002,1,6/1/2022,ND,6,PROF,2.7,,,1066,,,,,,,,,,,,,9.1,,,8.61,,,,,,,,14.4,,,
8/13/2024,2020286,NLA_ND-10144,NLA22_ND-10002,1,6/1/2022,ND,2,PROF,1,,,1066,,,,,,,,,,,,,9.1,,,8.61,,,,,,,,14.4,,,
8/13/2024,2020286,NLA_ND-10144,NLA22_ND-10002,1,6/1/2022,ND,3,PROF,1.5,,,1066,,,,,,,,,,,,,9.1,,,8.61,,,,,,,,14.4,,,
